Titre,lien_wikipedia,annee,url_imdb,url_allocine
Un peuple,https://fr.wikipedia.org/wiki/Un_peuple,2022,https://www.imdb.com/title/t18291532,https://www.allocine.fr/film/fichefilm_gen_cfilm=295022.html
Le Chêne,"https://fr.wikipedia.org/wiki/Le_Ch%C3%AAne_(film,_2022)",2022,https://www.imdb.com/title/t10368758,https://www.allocine.fr/film/fichefilm_gen_cfilm=296970.html
Zaï zaï zaï zaï,https://fr.wikipedia.org/wiki/Za%C3%AF_za%C3%AF_za%C3%AF_za%C3%AF_(film),2022,https://www.imdb.com/title/t11557872,https://www.allocine.fr/film/fichefilm_gen_cfilm=279326.html
Maigret,https://fr.wikipedia.org/wiki/Maigret_(film),2022,https://www.imdb.com/title/t10545696,https://www.allocine.fr/film/fichefilm_gen_cfilm=276821.html
Robuste,https://fr.wikipedia.org/wiki/Robuste_(film),2022,https://www.imdb.com/title/t13667548,https://www.allocine.fr/film/fichefilm_gen_cfilm=281973.html
Là-haut perchés,https://fr.wikipedia.org/wiki/L%C3%A0-haut_perch%C3%A9s,2022,NA,https://www.allocine.fr/film/fichefilm_gen_cfilm=297861.html
Porte de Vincennes,https://fr.wikipedia.org/w/index.php?title=Porte_de_Vincennes_(film)&action=edit&redlink=1,2022,NA,NA
Permis de construire,https://fr.wikipedia.org/wiki/Permis_de_construire_(film),2022,https://www.imdb.com/title/t13941852,https://www.allocine.fr/film/fichefilm_gen_cfilm=42303.html
Sans répit,https://fr.wikipedia.org/wiki/Sans_r%C3%A9pit,2022,https://www.imdb.com/title/t14465894,https://www.allocine.fr/film/fichefilm_gen_cfilm=291593.html
Murder Party,"https://fr.wikipedia.org/wiki/Murder_Party_(film,_2022)",2022,https://www.imdb.com/title/t14039346,https://www.allocine.fr/film/fichefilm_gen_cfilm=283722.html
Ma nuit,"https://fr.wikipedia.org/w/index.php?title=Ma_nuit_(film,_2022)&action=edit&redlink=1",2022,NA,NA
Kung Fu Zohra,https://fr.wikipedia.org/wiki/Kung_Fu_Zohra,2022,https://www.imdb.com/title/t13261944,https://www.allocine.fr/film/fichefilm_gen_cfilm=284817.html
Sans Frapper,"https://fr.wikipedia.org/w/index.php?title=Sans_Frapper_(film,_2022)&action=edit&redlink=1",2022,NA,NA
La Campagne de France,"https://fr.wikipedia.org/w/index.php?title=La_Campagne_de_France_(film,_2022)&action=edit&redlink=1",2022,NA,NA
Théo et les métamorphoses,https://fr.wikipedia.org/wiki/Th%C3%A9o_et_les_m%C3%A9tamorphoses,2022,https://www.imdb.com/title/t14043896,https://www.allocine.fr/film/fichefilm_gen_cfilm=290270.html
Soy libre,https://fr.wikipedia.org/wiki/Soy_libre,2022,https://www.imdb.com/title/t14266422,https://www.allocine.fr/film/fichefilm_gen_cfilm=293464.html
Notre-Dame brûle,https://fr.wikipedia.org/wiki/Notre-Dame_br%C3%BBle,2022,https://www.imdb.com/title/t12264966,https://www.allocine.fr/film/fichefilm_gen_cfilm=284864.html
Trois fois rien,https://fr.wikipedia.org/wiki/Trois_fois_rien_(film),2022,https://www.imdb.com/title/t13892842,https://www.allocine.fr/film/fichefilm_gen_cfilm=278850.html
Alors on danse,https://fr.wikipedia.org/wiki/Alors_on_danse_(film),2022,https://www.imdb.com/title/t12883472,https://www.allocine.fr/film/fichefilm_gen_cfilm=285816.html
Funambules,https://fr.wikipedia.org/wiki/Funambules_(film),2022,https://www.imdb.com/title/t12545570,https://www.allocine.fr/film/fichefilm_gen_cfilm=283818.html
Belladones,"https://fr.wikipedia.org/w/index.php?title=Belladones_(film,_2022)&action=edit&redlink=1",2022,NA,NA
Le Temps des secrets,https://fr.wikipedia.org/wiki/Le_Temps_des_secrets_(film),2022,https://www.imdb.com/title/t13371942,https://www.allocine.fr/film/fichefilm_gen_cfilm=281401.html
